,0
0,0.0022348464
1,0.0027234852
2,0.024956403
3,0.036969535
4,0.0040886104
5,0.0010161176
6,0.037938032
7,0.03191088
8,0.0380362
9,0.030935444
10,0.036051817
11,0.038241595
12,0.035544205
13,0.0027782097
14,-0.0014723688
15,0.050572466
16,0.09149975
17,0.15818924
18,0.13361919
19,0.030783692
20,0.0008970201
21,0.004092369
22,0.048164226
23,0.00050037354
24,0.027380042
25,0.0036681294
26,0.17755917
27,0.0874811
28,0.0009713471
29,0.0030500814
30,0.0019478425
31,0.011506088
32,0.14820683
33,0.0035929307
34,0.062277257
35,0.0033487938
36,0.14014873
37,0.027536131
38,0.0060275383
39,0.009113811
40,0.03136758
41,0.0030190274
42,0.006515637
43,0.004346732
44,0.016842004
45,0.040701926
46,0.004210513
47,0.033354435
48,0.031846758
49,0.00087543577
50,0.030852579
51,0.048522305
52,0.0061313473
53,0.029046707
54,0.0044036843
55,0.037857294
56,0.0023258626
57,0.076351434
58,0.0006097704
59,0.04154852
60,0.0042774454
61,0.008296389
62,0.002866283
63,0.09405124
64,0.014264429
65,0.060525797
66,0.06225608
67,0.038448673
68,0.024536308
69,0.0018889755
70,0.062436424
71,0.005572919
72,0.0037324652
73,0.0008887425
74,0.013875619
75,0.0018982738
76,0.0131247565
77,0.002218645
78,0.032613333
79,0.0007176697
80,0.0014358461
81,0.022438768
82,0.027966067
83,0.0016713664
84,0.043342736
85,0.03893575
86,0.004791405
87,0.109410085
88,0.011486694
89,0.004623927
90,0.018467056
91,0.00619632
92,0.04422963
93,-8.115545e-05
94,-0.0015943237
95,-0.000118453056
96,0.067516625
97,0.047771428
98,0.0014801249
99,0.09432609
100,0.035401966
101,0.016800353
102,0.10143036
103,0.002119258
104,0.07256753
105,0.001146555
106,0.0038277656
107,0.0007013455
108,0.0005122684
109,0.121270716
110,0.058070287
111,0.026067503
112,0.03994656
113,0.0071088895
114,0.101970196
115,0.057236493
116,-0.004840255
117,0.055463225
118,0.043425616
119,0.0011888593
120,0.036934547
121,0.0019027404
122,0.09190362
123,0.029311158
124,0.0013540313
125,0.18928266
126,0.043823082
127,0.0026840717
128,0.0021439344
129,0.0025490336
130,0.08700373
131,0.004759077
132,0.033102933
133,0.028716294
134,0.068555385
135,0.0034187138
136,0.024221469
137,0.032799773
138,0.054258004
139,0.031554274
140,0.029512508
141,0.031417526
142,0.037730522
143,0.0031140298
144,-0.0010382906
145,0.00085906684
146,0.007078223
147,0.003847979
148,0.12644696
149,0.0042909607
150,0.0015184917
151,0.0018789992
152,0.0073114485
153,0.027325137
154,0.16023847
155,0.032932512
156,0.017272662
157,-0.0007208921
158,0.044680525
159,0.0038920492
160,0.09303875
161,0.17554799
162,-0.0009402931
163,-0.000385724
164,0.0044923276
165,0.034828603
166,0.03800895
167,0.13022739
168,0.0009468943
169,0.0046011657
170,0.0020695664
171,0.0039465316
172,0.029421449
173,0.002575554
174,0.07930966
175,0.0025012344
176,0.005791031
177,-0.00028727576
178,0.10630184
179,0.004737191
180,0.012483444
181,0.04419321
182,0.120938085
183,0.0027107522
184,0.0025667772
185,0.004693508
186,0.0042431764
187,0.033846065
188,0.037820518
189,0.066960946
190,1.4036894e-05
191,0.051914252
192,0.0017259382
193,0.05318819
194,0.049326453
195,0.0005450025
196,0.0026222542
197,0.0011050925
198,0.13941069
199,0.05484371
200,0.09361698
201,0.0045851655
202,0.07379238
203,0.061150223
204,0.06350792
205,0.007066462
206,0.066652186
207,0.04642938
208,0.03621542
209,0.053198416
210,0.09768897
211,0.0028629974
212,0.0058536716
213,0.03490316
214,0.092534706
215,0.0007160008
216,0.0023213439
217,0.0015177354
218,0.004823789
219,0.026140109
220,0.0047523715
221,0.028841548
222,0.08251779
223,0.03990896
224,0.0019091517
225,0.0026584342
226,0.03638478
227,0.03139952
228,0.025747446
229,0.0035914853
230,0.024535762
231,-6.2160194e-05
232,-0.0004815571
233,0.03582649
234,0.004503336
235,0.047239736
236,0.004259173
237,-0.0020712838
238,0.015936293
239,0.037974905
240,0.114748366
241,0.039488554
242,0.031235557
243,0.039741922
244,0.003209591
245,0.0015732422
246,0.0017489418
247,0.005707778
248,0.04006294
249,-0.00028715655
250,0.026224758
251,0.0043441765
252,0.35197076
253,0.0363809
254,0.0626149
255,-0.0012800545
256,0.0018445738
257,0.049217045
258,0.061922193
259,-0.0048163235
260,-0.0003214851
261,0.0050019436
262,0.03413702
263,0.0017821379
264,0.061036173
265,0.040991075
266,0.027783744
267,0.0065968484
268,0.0040002577
269,0.026700659
270,0.12989981
271,0.0010101609
272,0.003515862
273,-0.00036378205
274,0.069136724
275,0.0039344057
276,0.005598124
277,0.0020354912
278,0.07883068
279,0.006130282
280,0.04154233
281,0.0021123067
282,0.10441319
283,0.001380384
284,0.0049691126
285,0.0014079735
286,0.009871107
287,0.009580836
288,0.034437668
289,0.0027476437
290,0.0079991445
291,0.06405711
292,0.039155193
293,0.0033637807
294,0.034364596
295,0.087013036
296,0.0019451231
297,0.0003976375
298,0.0021050498
299,0.0018249005
300,0.050676722
301,0.03590376
302,0.09047474
303,0.0021392517
304,-0.00023760647
305,0.028681386
306,0.0012342781
307,0.004965026
308,0.00055044144
309,0.0668291
310,0.0011175685
311,0.0016878396
312,0.074681684
313,0.005950447
314,0.00138494
315,0.0019471645
316,0.0052251406
317,0.08198041
318,0.00041415542
319,0.025776401
320,0.008519039
321,-0.004401818
322,0.00340911
323,0.005444944
324,0.0015480891
325,0.005835425
326,0.0018088408
327,0.0018719584
328,0.025185624
329,0.05436629
330,0.043036126
331,0.004484266
332,-0.0010492094
333,0.02812784
334,-0.0030090138
335,0.0026611984
336,0.043888282
337,0.002837818
338,0.0043497123
339,0.038037132
340,0.030938571
341,0.3748398
342,0.02654919
343,0.049316075
344,0.07909772
345,0.007658165
346,0.0046517625
347,0.0045897253
348,0.012909435
349,0.0049840063
350,0.0061552525
351,0.0028628148
352,0.041864086
353,0.16634774
354,0.0019817874
355,0.0067429766
356,0.20608884
357,0.0031211153
358,0.0015852116
359,0.006027907
360,0.09319205
361,0.052727766
362,0.05202288
363,0.0034409165
364,0.09757925
365,0.0014624372
366,0.0027113855
367,0.0030610822
368,0.006792724
369,0.0069534443
370,0.057242826
371,0.034411736
372,0.10894621
373,0.0036214702
374,0.035895877
375,0.031825468
376,0.024289837
377,0.022234043
378,0.015830653
379,0.0539079
380,0.031801473
381,0.016595732
382,0.0047063865
383,0.033545315
384,0.0016476363
385,0.003672395
386,0.0009184815
387,0.001974769
388,0.038312286
389,0.0048852265
390,-0.00013598055
391,0.0030375533
392,0.0880986
393,0.03180303
394,0.07063441
395,0.03455764
396,0.004695855
397,0.0017292723
398,-0.00021185726
399,0.003092602
400,0.09300433
401,0.07321176
402,0.0053930692
403,0.008667834
404,0.0032508783
405,0.005691722
406,0.0029192455
407,0.004654862
408,0.002678521
409,0.067983076
410,0.0028932393
411,0.050486296
412,0.0024537742
413,0.08674918
414,0.006158281
415,0.006267369
416,0.081259444
417,0.108021796
418,0.011890762
419,0.00531495
420,-0.0027508028
421,0.019415371
422,0.0077039264
423,0.002671633
424,0.051383093
425,0.039302267
426,0.0035420991
427,0.013319679
428,0.0017009415
429,0.0033916906
430,0.037794337
431,0.03812533
432,0.03617847
433,0.0023392402
434,0.030445376
435,0.03635394
436,0.04295089
437,0.002088569
438,0.029498802
439,-0.0025918037
440,0.023627
441,0.027902111
442,0.03863714
443,0.017125323
444,0.00632789
445,5.6549907e-05
446,0.063119285
447,0.0020239018
448,0.18356827
449,0.0009912848
450,0.019040998
451,0.0027125813
452,0.004983239
453,0.0012276545
454,0.0023188964
455,0.038703036
456,0.033452317
457,0.047024645
458,0.033342678
459,0.0037970394
460,0.043366555
461,0.030830454
462,0.03455464
463,-3.5457313e-05
464,0.0044031553
465,0.042302
466,0.02773055
467,0.0011998229
468,-0.0028399937
469,0.03694632
470,0.0018932521
471,0.00091804937
472,0.0054954663
473,0.099125266
474,0.0419027
475,0.17461735
476,0.0768055
477,0.004959751
478,0.094899684
479,0.039860822
480,0.17177156
481,-0.0090375915
482,0.0027472675
483,0.0031401813
484,0.0056281015
485,0.00405908
486,0.0034362748
487,0.12193425
488,0.017717076
489,0.073536634
490,0.00024772435
491,0.0037385896
492,0.0046795085
493,0.011999723
494,0.008797571
495,0.0013047382
496,0.004601367
497,0.0021596998
498,0.0012369566
499,0.0032290295
500,0.0009769388
501,0.005436562
502,0.028648138
503,0.053110063
504,0.0019555353
505,0.03123746
506,0.001440309
507,0.060270317
508,0.004791476
509,0.021557806
510,0.31396323
511,0.03368099
512,0.0042077824
513,0.056608483
514,0.033000108
515,0.038129997
516,-0.0060885325
517,0.0018329471
518,0.10033369
519,0.008407213
520,0.0015482716
521,0.050368316
522,0.014538158
523,-0.00017764792
524,0.0059334114
525,0.0066641867
526,0.0027256683
527,0.017971257
528,0.0036798492
529,0.0054682977
530,0.0044112653
531,0.0029998794
532,0.030605761
533,0.003601797
534,0.01873815
535,0.032385096
536,0.0015449375
537,0.03737084
538,0.0051882267
539,0.001048319
540,0.004984632
541,0.0029431954
542,0.0021123104
543,0.0070170164
544,-0.0009117313
545,0.027778827
546,0.07842092
547,0.0018335804
548,0.0043471307
549,0.052849546
550,0.004046507
551,0.0890021
552,0.00614433
553,0.0233373
554,0.050913684
555,0.08943994
556,0.0045718327
557,0.00083808973
558,0.0059049577
559,0.0014629364
560,0.12193968
561,0.12822679
562,0.009437427
563,0.04032707
564,0.024507422
565,0.052780315
566,0.010065932
567,0.003868498
568,0.021944206
569,0.10270269
570,0.001930505
571,0.0027348623
572,0.03181076
573,0.03704816
574,0.027979348
575,0.115296125
576,0.0019651428
577,0.0062237866
578,0.002739735
579,0.003939472
580,0.005758006
581,0.0036806464
582,0.04285425
583,0.029187683
584,0.03963447
585,0.05422769
586,0.0033412203
587,0.00033978373
588,0.0047102496
589,0.058610164
590,0.05101156
591,0.081080854
592,0.005478412
593,0.03139193
594,0.043457583
595,0.08788803
596,0.4496827
597,0.031429414
598,0.0056906417
599,0.06031841
600,0.0050293133
601,-0.00057467073
602,0.00982815
603,-0.00023923442
604,0.0026198775
605,0.06220022
606,0.0051752403
607,0.003377255
608,0.023829576
609,0.0038434565
610,-0.0050071515
611,0.03247311
612,0.06499496
613,0.032476574
614,0.017150555
615,0.0026040897
616,0.04730896
617,0.057736948
618,0.001215525
619,0.035177693
620,0.16350833
621,0.003169842
622,0.014602374
623,0.0017896965
624,0.0023782626
625,0.026439741
626,0.63665897
627,0.0033478737
628,0.047501296
629,0.085420206
630,0.030844864
631,0.0016603991
632,0.0060293823
633,0.056325458
634,0.00052060187
635,0.0325728
636,0.069037825
637,0.10904022
638,0.04858698
639,0.0018466376
640,0.0005173832
641,0.012720637
642,0.14697242
643,0.05293959
644,0.047530517
645,0.012127914
646,0.0015904866
647,0.016490309
648,0.09050751
649,0.035121918
650,0.039557647
651,0.002531778
652,0.0013667941
653,0.03638537
654,0.0005286187
655,0.06500827
656,0.0140422955
657,0.023818657
658,0.035580102
659,0.0025779568
660,0.086013526
661,0.083357215
662,0.0021761023
