,0
0,0.0028120324
1,0.0012183366
2,0.03572302
3,0.03458053
4,0.0016251224
5,0.0015218722
6,0.04055332
7,0.042005505
8,0.04034478
9,0.040157303
10,0.04919511
11,0.05338393
12,0.039985064
13,0.0017654921
14,0.0016634307
15,0.06427689
16,0.090072274
17,0.1521406
18,0.14670329
19,0.036240753
20,0.0014513646
21,0.00141417
22,0.05852454
23,0.00093414687
24,0.02921881
25,0.0013932999
26,0.18885948
27,0.09766591
28,0.0019832614
29,0.0016952519
30,0.001024084
31,0.0013580312
32,0.16394503
33,0.0023423722
34,0.068084106
35,0.0015517834
36,0.14270614
37,0.037141796
38,0.0014860847
39,0.00081707624
40,0.04023432
41,0.0015161221
42,0.0008288859
43,0.002165938
44,0.0013911108
45,0.038553026
46,0.001399619
47,0.029285502
48,0.042933308
49,0.0010885212
50,0.042242657
51,0.060617656
52,0.0016342276
53,0.036167473
54,0.0022013695
55,0.059263635
56,0.0024709136
57,0.08736337
58,0.0028819584
59,0.04203785
60,0.0018664037
61,0.0012583416
62,0.0022788392
63,0.10291255
64,0.0016301885
65,0.06740841
66,0.076071694
67,0.04523509
68,0.026167832
69,0.0034528736
70,0.06328799
71,0.0016714884
72,0.0019686532
73,0.00232599
74,0.003916088
75,0.001868398
76,0.00092679315
77,0.0015757739
78,0.033068977
79,0.0018860248
80,0.0012087431
81,0.031513408
82,0.03174456
83,0.0018198816
84,0.0499925
85,0.04752297
86,0.0033805298
87,0.093305245
88,0.0014754863
89,0.001281612
90,0.02024491
91,0.00067438686
92,0.06833399
93,0.0039026802
94,0.0020822792
95,0.0034181639
96,0.06795991
97,0.05435518
98,0.0013906552
99,0.09288604
100,0.04154588
101,0.0011012327
102,0.1183845
103,0.0013027673
104,0.09506799
105,0.0015224926
106,0.0029458532
107,0.0030664154
108,0.0017236662
109,0.10334031
110,0.08025464
111,0.029155817
112,0.052066926
113,0.0012518038
114,0.103393614
115,0.048240907
116,0.0023451955
117,0.06300038
118,0.05149985
119,0.002054686
120,0.03937155
121,0.0019410307
122,0.11352327
123,0.035319444
124,0.00087277073
125,0.22632213
126,0.0447788
127,0.0014159787
128,0.0018106746
129,0.00179478
130,0.110316575
131,0.001145703
132,0.03464852
133,0.040908344
134,0.071251385
135,0.0013494472
136,0.02955217
137,0.040576648
138,0.057367627
139,0.037409015
140,0.042488024
141,0.039429486
142,0.029235503
143,0.0014090334
144,0.0037049712
145,0.0022967402
146,0.0015565916
147,0.0014930889
148,0.14723371
149,0.0014227914
