,0
0,0.0018955556
1,0.001086956
2,0.02999316
3,0.031483658
4,0.0009924412
5,0.0012741559
6,0.038681302
7,0.033564344
8,0.035267793
9,0.036249503
10,0.047233712
11,0.04679176
12,0.03580655
13,0.0015054082
14,0.0010988796
15,0.052651003
16,0.091262855
17,0.14974783
18,0.14747536
19,0.034028158
20,0.0010593558
21,0.0011273017
22,0.05897278
23,0.00087761
24,0.024110893
25,0.0011316856
26,0.2005962
27,0.08879637
28,0.001446452
29,0.0012459852
30,0.00070460775
31,0.0007939205
32,0.15563066
33,0.0012309222
34,0.069609165
35,0.0010726122
36,0.14093927
37,0.030622227
38,0.0012808683
39,0.0005489298
40,0.040763676
41,0.0011603305
42,0.00067470694
43,0.00065320526
44,0.00076099765
45,0.033104133
46,0.00094181346
47,0.030501675
48,0.037292324
49,0.0012668957
50,0.03262476
51,0.053437963
52,0.0013410145
53,0.0323524
54,0.0019146822
55,0.04472184
56,0.0018852099
57,0.07475369
58,0.002467827
59,0.042624373
60,0.00073578564
61,0.00071475044
62,0.001264949
63,0.09695896
64,0.0007323443
65,0.06769458
66,0.08792712
67,0.033985462
68,0.020572497
69,0.0023674131
70,0.061062224
71,0.0009929935
72,0.0013684533
73,0.0016349396
74,0.0007746864
75,0.0012980663
76,0.003900102
77,0.0011560478
78,0.027367346
79,0.0013590488
80,0.0010577536
81,0.021922009
82,0.02337169
83,0.0017423258
84,0.045578353
85,0.04471518
86,0.0014950638
87,0.08172403
88,0.00071859633
89,0.00082167744
90,0.007893191
91,0.0007456651
92,0.06385348
93,0.003339001
94,0.0019107169
95,0.002036327
96,0.05931826
97,0.05315869
98,0.0013010252
99,0.09412596
100,0.03611062
101,0.00087793614
102,0.12568292
103,0.00099471
104,0.081407726
105,0.0010927775
106,0.0017210623
107,0.0018245876
108,0.0013339347
109,0.1054728
110,0.073313475
111,0.0265986
112,0.04439252
113,0.00082950335
114,0.11018268
115,0.043481078
116,0.00239821
117,0.063859865
118,0.049782105
119,0.0016188663
120,0.04085822
121,0.001306467
122,0.108196
123,0.038232524
124,0.0007595957
125,0.19378021
126,0.043039076
127,0.0010817724
128,0.0013042565
129,0.0012513401
130,0.094034865
131,0.00083426107
132,0.03180854
133,0.036349077
134,0.073761985
135,0.0009999459
136,0.025729664
137,0.037022866
138,0.058750052
139,0.030809592
140,0.039254997
141,0.03983371
142,0.02681863
143,0.0012744557
144,0.0023961777
145,0.0017589804
146,0.0012306952
147,0.0013451077
148,0.13246684
149,0.0011515976
150,0.0012892412
151,0.00091354206
152,0.0012599444
153,0.03380991
154,0.15191205
155,0.031360928
156,0.0008811165
157,0.00069269247
158,0.036899697
159,0.0017259677
160,0.096525304
161,0.17279844
162,0.0024071273
163,0.0019777112
164,0.0010696555
165,0.036756426
166,0.044675153
167,0.13928993
168,0.0025068107
169,0.0011962986
170,0.0022881592
171,0.001541234
172,0.030505603
173,0.00092684745
174,0.07430822
175,0.00086501974
176,0.0007339914
177,0.0009803656
178,0.13591293
179,0.0010387473
180,0.0024307591
181,0.032702886
182,0.11445197
183,0.0009634799
184,0.0009961601
185,0.0013217299
186,0.0014135864
187,0.04304012
188,0.038212594
189,0.07942487
190,0.0008811531
191,0.0610803
192,0.0018956059
193,0.05941233
194,0.06514308
195,0.0006727574
196,0.0012309274
197,0.0010516323
198,0.1503863
199,0.07109369
200,0.10179992
201,0.0010192853
202,0.06473064
203,0.06515702
204,0.05259046
205,0.0005937902
206,0.064979695
207,0.054916915
208,0.04182472
209,0.05866594
210,0.09634704
211,0.00082264026
212,0.0011052901
213,0.029858254
214,0.10030771
215,0.00148
216,0.0005102205
217,0.0012387384
218,0.0012154897
219,0.03038543
220,0.0011709275
221,0.030475596
222,0.08347517
223,0.0006343446
224,0.0005381156
225,0.0011862699
226,0.03804969
227,0.029349469
228,0.027229128
229,0.0005678837
230,0.03548099
231,0.0014337242
232,0.0020797402
233,0.035634387
234,0.001288706
235,0.062318183
236,0.0010130337
237,0.0007141281
238,0.001843298
239,0.039587576
240,0.12667823
241,0.033574406
242,0.035399165
243,0.055788446
244,0.0016958483
245,0.001509755
246,0.0014999692
247,0.0013002657
248,0.031965848
249,0.0010127022
250,0.028761895
251,0.00095483003
252,0.34142834
253,0.042561512
254,0.065003686
255,0.0026155745
256,0.0012489051
257,0.058188617
258,0.06121213
259,0.0035340856
260,0.002207738
261,0.0010795096
262,0.03555573
263,0.0010207609
264,0.06635833
265,0.031545095
266,0.033757348
267,0.0011962296
268,0.0015964874
269,0.025898214
270,0.1487903
271,0.0015921528
272,0.0011381475
273,0.0011604837
274,0.07404563
275,0.0010650555
276,0.000964317
277,0.0011836003
278,0.08408773
279,0.0010512952
280,0.030608596
281,0.0014217064
282,0.1057196
283,0.002209266
284,0.0012430276
285,0.0010941962
286,0.00072081026
287,0.0006802425
288,0.024880407
289,0.0011009568
290,0.0011171262
291,0.06265
292,0.0423358
293,0.0010903359
294,0.034366973
295,0.09432063
296,0.001049987
297,0.0016856188
298,0.0009831974
299,0.0009431002
300,0.058477625
301,0.027319554
302,0.10613893
303,0.0015001736
304,0.0005718885
305,0.027474964
306,0.001181035
307,0.0012484526
308,0.0010669047
309,0.061041422
310,0.0010377527
311,0.0016064163
312,0.08570117
313,0.0008105321
314,0.0012721611
315,0.0010319154
316,0.0015737001
317,0.06419871
318,0.0021323173
319,0.027577115
320,0.0006799291
321,0.0031506226
322,0.00090016914
323,0.0007602225
324,0.00060755946
325,0.00084436306
326,0.0019415682
327,0.0010140956
328,0.026456513
329,0.05475174
330,0.04594225
331,0.0010225071
332,0.0019200159
333,0.027252207
334,0.0006104998
335,0.0012303389
336,0.052009556
337,0.00072088133
338,0.0013799294
339,0.040007565
340,0.028907252
341,0.37363425
342,0.025401182
343,0.0542636
344,0.07238929
345,0.0008854167
346,0.0010873133
347,0.0012793704
348,0.00071929104
349,0.0013818527
350,0.0014074337
351,0.0010616218
352,0.057115488
353,0.15143971
354,0.0013143071
355,0.0013804605
356,0.22329856
357,0.0014129962
358,0.001693159
359,0.00088606996
360,0.09929492
361,0.06007938
362,0.06810506
363,0.0016285217
364,0.095071696
365,0.0009435657
366,0.0011728426
367,0.0011036621
368,0.0010861239
369,0.00095913216
370,0.06665361
371,0.036354598
372,0.11723959
373,0.0010385939
374,0.030421276
375,0.03309909
376,0.02783859
377,0.025386447
378,0.0008218983
379,0.06582317
380,0.03467486
381,0.00078069174
382,0.0011165059
383,0.045668576
384,0.0012242135
385,0.001146262
386,0.0023340553
387,0.0012232332
388,0.0383556
389,0.00085751154
390,0.00073462265
391,0.0014438159
392,0.10611701
393,0.026573127
394,0.07071596
395,0.029232277
396,0.0005946961
397,0.00077309384
398,0.0011641994
399,0.0017062454
400,0.07497651
401,0.09020413
402,0.00084022456
403,0.00081644475
404,0.0011300923
405,0.001023373
406,0.0013051772
407,0.0015286687
408,0.0016506243
409,0.06687132
410,0.0012636725
411,0.05523247
412,0.0010518141
413,0.09246606
414,0.0007791032
415,0.0010212769
416,0.09541324
417,0.13038112
418,0.0008984742
419,0.0008769462
420,0.0033574828
421,0.026851537
422,0.00063997204
423,0.0013473546
424,0.038866095
425,0.040921092
426,0.00124524
427,0.00063706917
428,0.00067335874
429,0.0016680426
430,0.049790658
431,0.052413892
432,0.033525575
433,0.0012877054
434,0.041629516
435,0.03998406
436,0.009695983
437,0.0010725515
438,0.03099896
439,0.00096976815
440,0.0058542304
441,0.028059894
442,0.026689976
443,0.0009166508
444,0.0007098456
445,0.0011336041
446,0.059997234
447,0.001986734
448,0.18401545
449,0.0023618697
450,0.027471581
451,0.0009549687
452,0.0018369928
453,0.00096365245
454,0.0016448854
455,0.038042936
456,0.04119622
457,0.02913746
458,0.026409592
459,0.0012392075
460,0.054867838
461,0.03238204
462,0.033498406
463,0.0013979924
464,0.0011318021
465,0.043814596
466,0.02939089
467,0.0015831867
468,0.0034276634
469,0.046142202
470,0.0011430639
471,0.0020803597
472,0.0011457304
473,0.10112099
474,0.040045056
475,0.1935168
476,0.10469269
477,0.000808196
478,0.10069452
479,0.042771302
480,0.18293667
481,0.0031690788
482,0.0020445073
483,0.0007873733
484,0.0011713682
485,0.0009129495
486,0.0007853654
487,0.10708768
488,0.00078980945
489,0.07732918
490,0.0010133664
491,0.0010209598
492,0.0011579964
493,0.00059002393
494,0.0005994653
495,0.001473522
496,0.00087864243
497,0.0016539828
498,0.00082106143
499,0.0014375434
500,0.0011981083
501,0.001052353
502,0.023730112
503,0.056236327
504,0.0016572617
505,0.0413602
506,0.00095515983
507,0.06864408
508,0.0010083416
509,0.028841645
510,0.27667668
511,0.0376307
512,0.0010967598
513,0.055189326
514,0.045153856
515,0.046707537
516,0.004793506
517,0.0016657937
518,0.111512944
519,0.00062967197
520,0.0018685866
521,0.07255311
522,0.0006135623
523,0.000740631
524,0.0011111192
525,0.0007574471
526,0.0012406585
527,0.0007216963
528,0.001077542
529,0.0010912524
530,0.0011561457
531,0.0011074323
532,0.03384274
533,0.0012703824
534,0.028656885
535,0.032767247
536,0.0013899415
537,0.03950848
538,0.0006680887
539,0.001007567
540,0.0012626596
541,0.0011166548
542,0.00090747105
543,0.0009498508
544,0.0012813411
545,0.024455946
546,0.085617654
547,0.00086922775
548,0.0008902318
549,0.0010448128
550,0.0010563663
551,0.10384494
552,0.00055517023
553,0.030736487
554,0.078400634
555,0.10458913
556,0.0007301825
557,0.0015635095
558,0.0011779092
559,0.00094349607
560,0.13126442
561,0.12936476
562,0.0009094029
563,0.036770307
564,0.026540942
565,0.068160675
566,0.00043186525
567,0.0008188452
568,0.026706908
569,0.101647034
570,0.000812576
571,0.0010036153
572,0.026489614
573,0.04888045
574,0.028080996
575,0.10844899
576,0.0010716883
577,0.0015516196
578,0.0010440343
579,0.0009772131
580,0.0010981429
581,0.0009214547
