,0
0,0.0013123304
1,0.0019585043
2,0.026546841
3,0.030843
4,0.0016980208
5,0.0017706379
6,0.035776515
7,0.029050326
8,0.026388835
9,0.032341283
10,0.045115292
11,0.047721192
12,0.034774765
13,0.0020798855
14,0.00046792626
15,0.051579934
16,0.08405863
17,0.1581336
18,0.13758533
19,0.031321086
20,0.000981085
21,0.00097521767
22,0.054158233
23,-0.004198674
24,0.022838555
25,0.00066779926
26,0.20847937
27,0.09508092
28,0.0037012063
29,-0.00182252
30,-0.0017579496
31,0.0018632784
32,0.16420308
33,-0.0017242506
34,0.06348547
35,0.002003681
36,0.12932163
37,0.025704583
38,0.0013610832
39,-0.0003140159
40,0.04021175
41,0.00013557076
42,-0.00052921847
43,-0.0014204532
44,0.004714545
45,0.02817971
46,-0.00074858963
47,0.025186406
48,0.03488308
49,-3.6500394e-05
50,0.032396063
51,0.05069154
52,-0.0023886561
53,0.027489716
54,0.0034121536
55,0.04287795
56,0.0024405979
57,0.07577768
58,0.0031986684
59,0.038517576
60,-0.001092162
61,0.0007969551
62,0.0007177144
63,0.088040754
64,0.00090636685
65,0.06596762
66,0.07499121
67,0.035076227
68,0.021699304
69,0.0050458014
70,0.061028797
71,0.00020812824
72,0.0019950308
73,0.0021787323
74,0.0013826825
75,0.0011482947
76,0.0049912296
77,0.0035521016
78,0.024335152
79,0.0027105547
80,-0.0002922155
81,0.021788932
82,0.023603553
83,0.0016206317
84,0.043264095
85,0.03950693
86,0.0013873838
87,0.08981071
88,0.0040651113
89,-0.0009432696
90,0.0046486
91,0.00073923543
92,0.06594857
93,0.0050307624
94,0.0015388019
95,0.0026900955
96,0.06432037
97,0.047931317
98,0.0003595464
99,0.09044404
100,0.03925883
101,0.0018165745
102,0.12221418
103,-0.0004308857
104,0.0793553
105,-0.0004981272
106,0.005233865
107,0.0024997257
108,0.00040723383
109,0.12119913
110,0.060990028
111,0.022334395
112,0.047432072
113,0.00026178733
114,0.10215843
115,0.045633074
116,-0.0013579167
117,0.056677476
118,0.048018433
119,0.0011868998
120,0.033898063
121,0.0017943308
122,0.103009015
123,0.032902446
124,0.002145242
125,0.1965801
126,0.03680814
127,0.00052526966
128,-0.00074891746
129,0.0003839694
130,0.09468722
131,0.0007167682
132,0.026141044
